ID,Type,Time,Latitude,Longitude
131,Residential burglary,2015-04-01 14:00:00,25.1180723,121.5272352
132,Residential burglary,2015-04-04 14:00:00,24.9877709,121.569779
133,Residential burglary,2015-04-05 11:00:00,24.9833249,121.57879
134,Residential burglary,2015-04-05 20:00:00,25.0499163,121.558019
135,Residential burglary,2015-04-05 23:00:00,25.0829643,121.5732389
136,Residential burglary,2015-04-07 2:00:00,25.042908,121.501544
137,Residential burglary,2015-04-07 11:00:00,25.084429,121.546959
138,Residential burglary,2015-04-07 11:10:00,25.0753288,121.5804476
139,Residential burglary,2015-04-08 17:00:00,25.0694545,121.5908805
140,Residential burglary,2015-04-09 11:00:00,25.0649908,121.5244228
141,Residential burglary,2015-04-10 8:00:00,25.1177584,121.511624
142,Residential burglary,2015-04-10 17:00:00,25.0258864,121.4945405
143,Residential burglary,2015-04-10 20:00:00,25.0587128,121.5630515
144,Residential burglary,2015-04-13 14:00:00,25.0402787,121.5009376
145,Residential burglary,2015-04-15 8:00:00,25.058151,121.55059
146,Residential burglary,2015-04-15 17:00:00,25.0250863,121.4933959
147,Residential burglary,2015-04-15 23:00:00,25.0402787,121.5009376
148,Residential burglary,2015-04-16 5:00:00,25.0009997,121.5357828
149,Residential burglary,2015-04-16 8:00:00,25.1085999,121.5305816
150,Residential burglary,2015-04-16 11:00:00,25.0594195,121.5233012
151,Residential burglary,2015-04-16 14:00:00,25.0690068,121.6191949
152,Residential burglary,2015-04-16 14:10:00,25.1220264,121.522045
153,Residential burglary,2015-04-17 17:00:00,25.13292,121.507341
154,Residential burglary,2015-04-19 14:00:00,25.1115988,121.5239491
155,Residential burglary,2015-04-20 17:00:00,25.0744592,121.5780534
156,Residential burglary,2015-04-20 23:00:00,25.0567812,121.5421384
157,Residential burglary,2015-04-21 20:00:00,24.983449,121.579807
158,Residential burglary,2015-04-22 20:00:00,25.0197989,121.498316
159,Residential burglary,2015-04-23 5:00:00,25.072009,121.61868
160,Residential burglary,2015-04-23 14:00:00,25.072009,121.61868
161,Residential burglary,2015-04-23 20:00:00,25.091756,121.5254976
162,Residential burglary,2015-04-23 20:10:00,25.0331843,121.4913822
163,Residential burglary,2015-04-24 11:00:00,25.071428,121.6170615
164,Residential burglary,2015-04-25 5:00:00,24.9968419,121.551739
165,Residential burglary,2015-04-25 23:00:00,25.068826,121.517002
166,Residential burglary,2015-04-26 5:00:00,25.1446401,121.4935231
167,Residential burglary,2015-04-27 8:00:00,25.0834189,121.5450367
168,Residential burglary,2015-04-27 8:10:00,25.066291,121.588782
169,Residential burglary,2015-04-27 14:00:00,25.0834189,121.5450367
170,Residential burglary,2015-04-27 17:00:00,25.0244138,121.4964377
171,Residential burglary,2015-04-27 23:00:00,25.0833278,121.5744792
172,Residential burglary,2015-04-29 14:00:00,25.0795468,121.5596143
173,Residential burglary,2015-04-29 14:10:00,25.079056,121.557962
174,Residential burglary,2015-04-30 20:00:00,25.0709813,121.618118
175,Residential burglary,2015-05-01 17:00:00,25.0653175,121.5306808
176,Residential burglary,2015-05-01 23:00:00,25.0412083,121.5610091
177,Residential burglary,2015-05-03 20:00:00,25.0496729,121.5691247
178,Residential burglary,2015-05-04 11:00:00,25.0493739,121.5239959
179,Residential burglary,2015-05-04 20:00:00,25.0836456,121.5681099
180,Residential burglary,2015-05-05 17:00:00,25.1381811,121.5671221
181,Residential burglary,2015-05-06 20:00:00,24.9884933,121.5425268
182,Residential burglary,2015-05-07 20:00:00,25.0428399,121.581664
183,Residential burglary,2015-05-08 5:00:00,25.0667908,121.516627
184,Residential burglary,2015-05-08 14:00:00,25.1598185,121.5004467
185,Residential burglary,2015-05-09 11:00:00,25.105665,121.5305984
186,Residential burglary,2015-05-10 5:00:00,25.0240174,121.5500626
187,Residential burglary,2015-05-10 14:00:00,25.0506682,121.5222907
188,Residential burglary,2015-05-11 23:00:00,25.0244988,121.4984219
189,Residential burglary,2015-05-12 11:00:00,25.141253,121.504817
190,Residential burglary,2015-05-12 14:00:00,25.036704,121.5280765
191,Residential burglary,2015-05-12 20:00:00,25.0571758,121.5673334
192,Residential burglary,2015-05-14 11:00:00,24.9809251,121.5574443
193,Residential burglary,2015-05-14 11:10:00,25.0725364,121.6077606
194,Residential burglary,2015-05-15 11:00:00,25.0788611,121.5934277
195,Residential burglary,2015-05-15 11:10:00,25.0811139,121.5800953
196,Residential burglary,2015-05-15 20:00:00,25.1118219,121.5142593
197,Residential burglary,2015-05-18 11:00:00,25.0447073,121.5168764
198,Residential burglary,2015-05-21 17:00:00,25.1371061,121.4966582
199,Residential burglary,2015-05-21 23:00:00,25.0995766,121.5271943
200,Residential burglary,2015-05-22 17:00:00,25.0262705,121.5217367
201,Residential burglary,2015-05-23 11:00:00,25.05344,121.5661033
202,Residential burglary,2015-05-23 11:10:00,25.0527879,121.559209
203,Residential burglary,2015-05-25 20:00:00,24.988202,121.544753
204,Residential burglary,2015-05-26 5:00:00,25.0988837,121.506903
205,Residential burglary,2015-05-26 17:00:00,25.0604617,121.5309432
206,Residential burglary,2015-05-26 23:00:00,25.0508342,121.5252532
207,Residential burglary,2015-05-28 5:00:00,25.003326,121.540689
208,Residential burglary,2015-05-28 20:00:00,25.0919276,121.5023802
209,Residential burglary,2015-05-29 17:00:00,25.0660801,121.5188078
210,Residential burglary,2015-05-31 23:00:00,24.9980499,121.556648
